path	ibrion	tebeg	teend	nsw	potim	contcar_size	species	counts
GK_xum02/xqd/8-In-doped/4-Sb/04-MD	0	300.0	300.0	2000	3.00	77508	In Sb	30 270
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/0-equilibrate	0	3000.0	3000.0	2000	3.00	77519	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/01-1200K	0	1200.0	1200.0	2000	3.00	77519	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/1-300K	0	3000.0	300.0	3000	3.00	77519	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/2-opt	2			300	0.50	33314	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/3-MD	0	300.0	300.0	2000	3.00	77519	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/02-300K	0	1200.0	300.0	10000	3.00	77519	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/4-scf	-1			0	0.5	33314	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/03-opt	2			300	0.50	33314	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/04-MD	0	300.0	300.0	2000	3.00	77519	In Ge Sb	30 40 230
GK_xum02/xqd/1-PCM/1-Sb/1-model/1-2000K	0	2000.0	2000.0	2000	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/2-2000K-300K	0	1262.0	300.0	1132	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/3-opt	2			100	0.50	33292	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/4-scf	-1			0	0.50	33292	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/5-MD/2-MD	0	0	0	500	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/5-MD/3-MD	0	0	0	500	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/5-MD/1-MD	0	0	0	1000	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/5-MD/4-MD	0	0	0	500	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/5-MD/5-MD	0	300.0	300.0	500	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/6-300K-MD	0	300.0	300.0	2000	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/0-model/1-MD	0	0	0	500	3.00	77497	Sb	300
