path	type	species	counts	natoms	contcar_size	tebeg	teend	nsw
nscc1741_XM/xumeng/3-OTS/1-GeSe/6-dos/6-300k	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/1-GeSe/8-dos/1-300K	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	200
nscc1741_XM/xumeng/3-OTS/1-GeSe/8-dos/8-chain-fix/1-Ge/5-rebuild/8-300k	md-amorphous	Ge Se	151 151	302	81665	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/1-GeSe/8-dos/8-chain-fix/1-Ge/5-rebuild/13-300K	md-amorphous	Ge Se	151 151	302	81665	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/1-GeSe/8-dos/7-MD-3000	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/3-OTS/1-GeSe/9-dos/1-300K	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	200
nscc1741_XM/xumeng/3-OTS/1-GeSe/10-dos/6-300K	md-amorphous	Ge Se	150 150	300	81127	300.0	300.0	800
nscc1741_XM/xumeng/3-OTS/1-GeSe/aging/1-MD-300K	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	20000
nscc1741_XM/xumeng/3-OTS/2-SiTe/3-dos/0-300K	md-amorphous	Si Te	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/2-SiTe/1-dos/4-MD-300-3000	md-amorphous	Si Te	150 150	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/3-OTS/2-SiTe/1-dos/7-300k	md-amorphous	Si Te	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/2-SiTe/1-dos/10-300k	md-amorphous	Si Te	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/3-GeS/2-dos/0-300k	md-amorphous	Ge S	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/3-GeS/3-dos/new/3-300k	md-amorphous	Ge S	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/3-GeS/3-dos/6-dos-m/1-300k	md-amorphous	Ge S	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/3-GeS/5-dos-F/0-300k	md-amorphous	Ge S	150 150	300	77508	300.0	300.0	400
nscc1741_XM/xumeng/3-OTS/3-GeS/1-dos/0-300k	md-amorphous	Ge S	150 150	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/3-OTS/3-GeS/6-dos-T/0-300k	md-amorphous	Ge S	150 150	300	77508	300.0	300.0	200
nscc1741_XM/xumeng/3-OTS/3-GeS/6-dos-T/3-300k	md-amorphous	Ge S	150 150	300	77508	300.0	300.0	200
nscc1741_XM/xumeng/3-OTS/3-GeS/6-dos-T/6-300k	md-amorphous	Ge S	150 150	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/3-OTS/3-GeS/8-dos2-GeS/0-300k	md-amorphous	Ge S	150 150	300	77508	300.0	300.0	200
nscc1741_XM/xumeng/3-OTS/9-ZnTe/1-dos/a-300K	md-amorphous	Zn Te	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/14-BTe/1-dos/1-3000k	md-amorphous	B Te	120 180	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/5-GeSeAs25/1-dos/1-300k	md-amorphous	Ge As Se	90 60 150	300	77519	300.0	300.0	600
nscc1741_XM/xumeng/3-OTS/4-SiSe/6-dos/1-300k	md-amorphous	Si Se	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/4-SiSe/3-dos/1-300K	md-amorphous	Si Se	150 150	300	77508	300.0	300.0	500
