model_key	rep_path	how	n_merged	formula	species	counts	natoms	tebeg
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-11	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-11	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-12	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-12	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-13	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-13	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-14	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-14	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-15	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-15	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-16	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-16	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-17	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-17	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-18	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-18	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-19	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-19	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-2	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-2	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-20	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-20	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-21	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-21	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-22	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-22	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-23	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-23	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-24	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-24	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-25	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-25	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-26	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-26	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-27	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-27	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-28	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-28	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-29	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-29	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-3	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-3	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-30	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-30	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-31	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-31	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-32	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-32	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-33	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-33	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-34	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-34	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-35	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-35	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-36	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-36	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-37	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-37	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-38	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-38	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-39	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-39	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-4	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-4	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-40	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-40	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-5	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-5	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-6	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-6	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-7	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-7	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-8	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-8	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-9	ysj/condi-diff/density_gen/mid-dens/POSCAR-4.53-9	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/energy-gen/1	ysj/condi-diff/energy-gen/1	opt-CONTCAR	1	Ge148Se144	Ge Se	148 144	292	
