path	ibrion	tebeg	teend	nsw	potim	contcar_size	species	counts
xqd/7-Tr/4-GST225/2-216atom/1-model/23-300K-6kstep/md	0	300	300	2000	3.00	50277	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/1-model/23-300K-6kstep/opt	2			300	0.50	21654	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/1-model/22-300K-4kstep	0	2000	300	4000	3.00	50277	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/1-model/22-300K-4kstep/opt	2			500	0.50	21654	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/1-model/22-300K-4kstep/md	0	300	300	2000	3.00	50277	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/1-model/21-300K-2kstep/md	0	300	300	2000	3.00	50277	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/1-model/21-300K-2kstep/opt	2			500	0.50	21654	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/1-model/21-300K-2kstep	0	2000	300	2000	3.00	50277	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/3-model/21-300K-2kstep	0	2000	300	2000	3.00	50277	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/3-model/21-300K-2kstep/opt	2			300	0.50	21654	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/3-model/21-300K-2kstep/md	0	300	300	2000	3.00	50277	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/3-model/1-2000K	0	2000	2000	2000	3.00	50277	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/2-opt-HSE03	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/2-opt-HSE03/md	0	300	300	1000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/2-opt-HSE03/1-scale	2			300	0.50	6694	Ge Sb Te	13 13 32
