path	type	species	counts	natoms	contcar_size	tebeg	teend	nsw
yyf/3-S/1-GeSiS/1-3%/7-opt	opt	Ge S Si	145 145 10	300	33314			1000
yyf/3-S/1-GeSiS/1-3%/111111-opt	opt	Ge S Si	150 150 9	309	34304			1000
yyf/3-S/1-GeSiS/2-6%/5-opt	opt	Ge S Si	141 141 18	300	33314			1000
yyf/3-S/1-GeSiS/2-6%/6-opt	opt	Ge S Si	141 141 18	300	33314			1000
yyf/3-S/1-GeSiS/2-6%/7-opt	opt	Ge S Si	141 141 18	300	33314			1000
yyf/3-S/1-GeSiS/2-6%/1111-opt	opt	Ge S Si	150 150 18	318	35294			1000
yyf/3-S/1-GeSiS/3-13%/11111-opt	opt	Ge S Si	150 150 39	339	37604			1000
yyf/3-S/1-GeSiS/3-13%/5-opt	opt	Ge S Si	150 150 39	339	37604			1000
yyf/3-S/1-GeSiS/3-13%/6-opt	opt	Ge S Si	150 150 39	339	37604			1000
yyf/5-O/1-In2O3/3-opt	opt	In O	80 120	200	22303			1000
yyf/5-O/1-In2O3/4-opt	opt	In O	80 120	200	22303			1000
yyf/5-O/1-In2O3/8-300atom/1-model/3-opt	opt	In O	120 179	299	33193			1000
yyf/5-O/1-In2O3/8-300atom/2-model/3-opt	opt	In O	120 180	300	33303			1000
yyf/5-O/1-In2O3/8-300atom/2-model/4-opt	opt	In O	120 180	300	33303			1000
yyf/5-O/1-In2O3/8-300atom/3-model/3-opt	opt	In O	120 180	300	33303			1000
yyf/5-O/1-In2O3/8-300atom/3-model/8-remove1O/1-OPT	opt	In O	120 179	299	33193			1000
yyf/5-O/1-In2O3/8-300atom/3-model/8-remove1O	opt	In O	120 179	299	33193			1000
yyf/5-O/2-InOGW/1-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_109/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_110/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_1/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_3/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_4/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_120/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_112/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_115/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_119/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_101/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_101/7-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_103/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_104/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_106/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_107/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_202/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_113/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_105/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_108/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_118/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_2/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_5/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_111/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_114/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_116/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_117/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_102/3-opt	opt	In O	16 24	40	4703			1000
